date,title,url,summary,content,industry_tags
2026-05-08,投中网：先进封装产能供不应求 封测产业链迎新一轮增长周期,https://www.chinaventure.com.cn/news/2205001,先进封装产能紧缺 封测行业进入上行周期,随着AI芯片需求爆发先进封装产能持续供不应求封测产业链迎来新一轮增长周期长电科技通富微电华天科技等封测厂商产能利用率持续攀升CoWoS和FC-BGA等先进封装技术需求旺盛,先进封装|半导体
2026-05-08,国产半导体设备突围：北方华创刻蚀设备市占率突破20%,https://www.chinaventure.com.cn/news/2205002,北方华创刻蚀设备市占率创新高 国产替代加速,北方华创最新数据显示其刻蚀设备在国内市场占有率已突破20%薄膜沉积设备出货量同比翻倍中微公司CCP刻蚀设备在3D NAND领域获得大单半导体设备国产替代进程显著加速,半导体设备|半导体
2026-05-08,沪硅产业300mm大硅片产能扩张 半导体材料国产化提速,https://www.chinaventure.com.cn/news/2205003,沪硅产业扩产300mm硅片 半导体材料赛道火热,沪硅产业公告称将投资50亿元扩建300mm硅片产能同时布局先进制程硅片研发半导体材料领域光刻胶靶材电子特气等细分赛道持续获资本关注雅克科技前驱体材料已进入台积电供应链,半导体材料|半导体
2026-05-08,AI大模型竞赛升级：国产算力芯片需求井喷,https://www.chinaventure.com.cn/news/2205004,国产AI芯片需求爆发算力基建加速推进,随着大模型训练需求激增国产AI芯片厂商迎来历史性机遇寒武纪思元系列AI加速卡出货量同比增长300%海光信息DCU产品在互联网大厂批量部署AI芯片赛道国产替代空间巨大,AI芯片|人工智能
2026-05-08,HBM存储需求暴增 存储芯片产业链受益,https://www.chinaventure.com.cn/news/2205005,HBM存储需求井喷存储芯片产业链迎来机遇,AI训练对高带宽存储器HBM需求爆发带动存储芯片产业链上行兆易创新NOR Flash出货量创历史新高北京君正DRAM产品打入安防市场存储芯片国产替代持续深化,存储芯片|半导体
2026-05-08,功率半导体碳化硅赛道火热 国产替代进程加速,https://www.chinaventure.com.cn/news/2205006,碳化硅功率半导体需求增长国产替代前景广阔,新能源汽车和光伏储能市场持续扩张带动碳化硅功率器件需求爆发斯达半导车规级SiC模块已批量供货士兰微IDM模式优势凸显功率半导体国产替代空间巨大,功率半导体|新能源
2026-05-08,人形机器人产业化提速 产业链上游零部件受益,https://www.chinaventure.com.cn/news/2205007,人形机器人量产在即核心零部件国产化机遇,特斯拉Optimus和国内人形机器人厂商量产计划提速带动机器人产业链上游需求增长绿的谐波谐波减速器出货量持续攀升汇川技术伺服系统在机器人领域份额扩大机器人赛道成为投资热点,机器人|人工智能
2026-05-08,锂电池产业链出海加速 头部企业海外建厂,https://www.chinaventure.com.cn/news/2205008,锂电产业链出海布局加速全球份额持续提升,宁德时代德国工厂产能爬坡顺利亿纬锂能匈牙利电池工厂启动建设锂电正极材料负极材料电解液等环节龙头加速海外布局中国锂电池产业链全球竞争优势持续巩固,锂电池|新能源
2026-05-08,新能源车智能驾驶进入L3时代 产业链深度受益,https://www.chinaventure.com.cn/news/2205009,智能驾驶升级带动汽车电子产业链需求,工信部发布L3级自动驾驶准入政策推动智能驾驶商业化加速比亚迪智能驾驶系统迭代升级德赛西威智能座舱域控出货量增长显著均胜电子安全气囊与ADAS融合方案获新订单,新能源车|人工智能
2026-05-08,光伏组件价格企稳 储能市场爆发式增长,https://www.chinaventure.com.cn/news/2205010,光伏储能双轮驱动新能源产业链持续景气,硅料价格企稳光伏组件盈利改善TOPCon和HJT电池技术迭代加速与此同时储能市场爆发式增长阳光电源储能逆变器出货量全球第一固德威户用储能欧洲市场份额持续扩大,光伏储能|新能源
2026-05-08,消费电子复苏信号明确 果链供应商订单回暖,https://www.chinaventure.com.cn/news/2205011,消费电子行业复苏供应链订单回暖明显,智能手机和PC市场出货量连续两个季度正增长消费电子产业链景气度回升立讯精密苹果供应链订单饱满歌尔股份VR代工业务有望触底反弹韦尔股份CIS传感器在安卓高端机型份额提升,消费电子
2026-05-08,创新药出海加速 生物医药CXO赛道回暖,https://www.chinaventure.com.cn/news/2205012,中国创新药出海加速CXO行业订单回暖,多个国产创新药获FDA批准上市推动生物医药出海进程加速药明康德合全药业订单回暖百济神州替雷利珠单抗全球销售额创新高生物医药投融资逐步复苏,医药创新
2026-05-08,数据中心光模块需求爆发 中际旭创领跑800G,https://www.chinaventure.com.cn/news/2205013,数据中心光模块需求井喷800G光模块供不应求,AI数据中心对高速率光模块需求爆发中际旭创800G光模块出货量全球第一新易盛400G/800G光模块产能翻倍天孚通信光引擎产品供不应求光模块产业链高景气持续,人工智能|半导体
