industry,code,name,role,aliases,industry_group,keywords
先进封装,600584,长电科技,封测龙头,长电科技|JCET|600584,半导体,先进封装|Chiplet|2.5D封装|3D封装|CoWoS|FC-BGA|SiP|晶圆级封装
先进封装,002156,通富微电,封测第二,通富微电|TFME|002156,半导体,先进封装|Chiplet|FC-BGA|封测
先进封装,002185,华天科技,封测第三,华天科技|002185,半导体,先进封装|封测
先进封装,603005,晶方科技,晶圆级封装,晶方科技|603005,半导体,先进封装|晶圆级封装|CIS封装
先进封装,688337,唯捷创芯,射频前端封测,唯捷创芯|688337,半导体,先进封装|射频前端
先进封装,002409,雅克科技,封装材料,雅克科技|Yake|002409,半导体,先进封装|封装材料|前驱体|SOD
半导体设备,002371,北方华创,刻蚀/薄膜/清洗设备,北方华创|NAURA|002371,半导体,半导体设备|刻蚀|薄膜沉积|CVD|PVD|清洗
半导体设备,688012,中微公司,刻蚀设备,中微公司|AMEC|688012,半导体,半导体设备|刻蚀|CCP|ICP
半导体设备,688072,拓荆科技,CVD设备,拓荆科技|688072,半导体,半导体设备|CVD|薄膜沉积|PECVD
半导体设备,300604,长川科技,测试设备,长川科技|300604,半导体,半导体设备|测试机|分选机
半导体设备,688200,华峰测控,测试机,华峰测控|688200,半导体,半导体设备|测试机|STS
半导体设备,688037,芯源微,涂胶显影设备,芯源微|688037,半导体,半导体设备|涂胶显影|光刻
半导体材料,300054,鼎龙股份,CMP抛光垫,鼎龙股份|300054,半导体,半导体材料|CMP|抛光垫
半导体材料,688019,安集科技,CMP抛光液,安集科技|688019,半导体,半导体材料|CMP|抛光液
半导体材料,300655,晶瑞电材,光刻胶/超纯化学品,晶瑞电材|300655,半导体,半导体材料|光刻胶|超纯试剂
半导体材料,300706,阿石创,靶材,阿石创|300706,半导体,半导体材料|靶材|PVD
半导体材料,688234,天岳先进,碳化硅衬底,天岳先进|688234,半导体,半导体材料|碳化硅|SiC|衬底
半导体材料,002407,多氟多,电子特气,多氟多|002407,半导体,半导体材料|电子特气|氟化工
存储芯片,603986,兆易创新,存储芯片设计,兆易创新|GigaDevice|603986,半导体,存储芯片|DRAM|NAND|NOR Flash|MCU
存储芯片,300223,北京君正,存储芯片设计,北京君正|300223,半导体,存储芯片|DRAM|SRAM|车载存储
存储芯片,688008,澜起科技,内存接口芯片,澜起科技|688008,半导体,存储芯片|DDR5|内存接口|RCD
存储芯片,301308,江波龙,存储模组/品牌,江波龙|301308,半导体,存储芯片|存储模组|SSD|嵌入式存储
AI芯片,688256,寒武纪,AI训练/推理芯片,寒武纪|688256,半导体,AI芯片|人工智能芯片|NPU|AI训练|AI推理
AI芯片,688041,海光信息,x86服务器CPU,海光信息|688041,半导体,AI芯片|CPU|服务器|x86|DCU
AI芯片,300474,景嘉微,GPU芯片,景嘉微|300474,半导体,AI芯片|GPU|图形处理|信创
AI芯片,603019,中科曙光,算力服务器,中科曙光|603019,半导体,AI芯片|算力|服务器|超级计算机
功率半导体,603290,斯达半导,IGBT/SiC模块,斯达半导|603290,半导体,功率半导体|IGBT|SiC|碳化硅|MOSFET
功率半导体,600460,士兰微,功率IDM,士兰微|600460,半导体,功率半导体|IGBT|MOSFET|IPM
功率半导体,688187,时代电气,轨交/新能源功率器件,时代电气|688187,半导体,功率半导体|IGBT|SiC|轨交|新能源
功率半导体,605111,新洁能,功率MOSFET,新洁能|605111,半导体,功率半导体|MOSFET|IGBT|超结
消费电子,002475,立讯精密,连接器/声学/整机代工,立讯精密|Luxshare|002475,消费电子,消费电子|连接器|整机组装|声学
消费电子,002241,歌尔股份,声学/VR/AR整机,歌尔股份|Goertek|002241,消费电子,消费电子|VR|AR|声学|智能穿戴
消费电子,603501,韦尔股份,CIS图像传感器,韦尔股份|韦尔|603501,消费电子,消费电子|CIS|图像传感器|车载摄像头
消费电子,300433,蓝思科技,玻璃盖板/外观件,蓝思科技|300433,消费电子,消费电子|玻璃盖板|外观件|防护玻璃
消费电子,002600,领益智造,精密功能件,领益智造|002600,消费电子,消费电子|精密功能件|模切|冲压
消费电子,601138,工业富联,AI服务器/通信设备,工业富联|FII|601138,消费电子,消费电子|AI服务器|通信设备|云计算
新能源车,002594,比亚迪,新能源车整车,比亚迪|BYD|002594,新能源,新能源车|电动汽车|刀片电池|DM-i
新能源车,601127,赛力斯,新能源车整车(问界),赛力斯|问界|601127,新能源,新能源车|问界|华为汽车|增程
新能源车,002472,双环传动,精密齿轮/减速器,双环传动|002472,新能源,新能源车|齿轮|减速器|传动
新能源车,300124,汇川技术,电驱/工控,汇川技术|300124,新能源,新能源车|电驱|工控|伺服|变频器
新能源车,688017,绿的谐波,谐波减速器,绿的谐波|688017,新能源,新能源车|谐波减速器|机器人|精密传动
新能源车,002050,三花智控,热管理/阀件,三花智控|002050,新能源,新能源车|热管理|电子膨胀阀|水冷板
锂电池,300750,宁德时代,动力电池龙头,宁德时代|CATL|300750,新能源,锂电池|动力电池|储能电池|麒麟电池
锂电池,300014,亿纬锂能,圆柱/方形电池,亿纬锂能|300014,新能源,锂电池|圆柱电池|方形电池|储能
锂电池,603659,璞泰来,负极材料/涂覆隔膜,璞泰来|603659,新能源,锂电池|负极材料|涂覆隔膜|石墨化
锂电池,002812,恩捷股份,湿法隔膜龙头,恩捷股份|002812,新能源,锂电池|湿法隔膜|锂电隔膜
锂电池,002709,天赐材料,电解液龙头,天赐材料|002709,新能源,锂电池|电解液|六氟磷酸锂|锂盐
锂电池,300450,先导智能,锂电设备龙头,先导智能|300450,新能源,锂电池|锂电设备|卷绕机|涂布机
光伏储能,601012,隆基绿能,光伏硅片/组件龙头,隆基绿能|隆基|601012,新能源,光伏|硅片|组件|BC电池|单晶硅
光伏储能,300274,阳光电源,逆变器/储能系统,阳光电源|300274,新能源,光伏|逆变器|储能|光伏电站|户用储能
光伏储能,600438,通威股份,硅料/电池片龙头,通威股份|600438,新能源,光伏|硅料|电池片|PERC|TOPCon
光伏储能,688599,天合光能,光伏组件/支架,天合光能|688599,新能源,光伏|组件|跟踪支架|分布式光伏
光伏储能,688408,中信博,光伏跟踪支架,中信博|688408,新能源,光伏|跟踪支架|固定支架|光伏电站
光伏储能,605117,德业股份,微型逆变器/储能,德业股份|605117,新能源,光伏|微型逆变器|储能|户用储能
人工智能,002230,科大讯飞,语音AI/教育AI,科大讯飞|讯飞|002230,人工智能,人工智能|语音识别|大模型|教育AI
