code,name,aliases,industry
300750,宁德时代,"宁德时代|CATL|300750|$300750",新能源
600519,贵州茅台,"贵州茅台|茅台|600519|$600519",消费
688981,中芯国际,"中芯国际|SMIC|688981|$688981",半导体
002371,北方华创,"北方华创|002371|$002371",半导体
000002,万科A,"万科A|万科|000002|$000002",地产
002594,比亚迪,"比亚迪|BYD|002594|$002594",新能源车
600036,招商银行,"招商银行|招行|600036|$600036",银行
601012,隆基绿能,"隆基绿能|隆基|601012|$601012",光伏
002230,科大讯飞,"科大讯飞|讯飞|002230|$002230",人工智能
600584,长电科技,"长电科技|JCET|600584",半导体
002156,通富微电,"通富微电|TFME|002156",半导体
002185,华天科技,"华天科技|002185",半导体
603005,晶方科技,"晶方科技|603005",半导体
688337,唯捷创芯,"唯捷创芯|688337",半导体
002409,雅克科技,"雅克科技|Yake|002409",半导体
688012,中微公司,"中微公司|AMEC|688012",半导体
688072,拓荆科技,"拓荆科技|688072",半导体
300604,长川科技,"长川科技|300604",半导体
688200,华峰测控,"华峰测控|688200",半导体
688037,芯源微,"芯源微|688037",半导体
300054,鼎龙股份,"鼎龙股份|300054",半导体
688019,安集科技,"安集科技|688019",半导体
300655,晶瑞电材,"晶瑞电材|300655",半导体
300706,阿石创,"阿石创|300706",半导体
688234,天岳先进,"天岳先进|688234",半导体
002407,多氟多,"多氟多|002407",半导体
603986,兆易创新,"兆易创新|GigaDevice|603986",半导体
300223,北京君正,"北京君正|300223",半导体
688008,澜起科技,"澜起科技|688008",半导体
301308,江波龙,"江波龙|301308",半导体
688256,寒武纪,"寒武纪|688256",半导体
688041,海光信息,"海光信息|688041",半导体
300474,景嘉微,"景嘉微|300474",半导体
603019,中科曙光,"中科曙光|603019",半导体
603290,斯达半导,"斯达半导|603290",半导体
600460,士兰微,"士兰微|600460",半导体
688187,时代电气,"时代电气|688187",半导体
605111,新洁能,"新洁能|605111",半导体
002475,立讯精密,"立讯精密|Luxshare|002475",消费电子
002241,歌尔股份,"歌尔股份|Goertek|002241",消费电子
603501,韦尔股份,"韦尔股份|韦尔|603501",消费电子
300433,蓝思科技,"蓝思科技|300433",消费电子
002600,领益智造,"领益智造|002600",消费电子
601138,工业富联,"工业富联|FII|601138",消费电子
601127,赛力斯,"赛力斯|问界|601127",新能源车
002472,双环传动,"双环传动|002472",新能源车
300124,汇川技术,"汇川技术|300124",新能源车
688017,绿的谐波,"绿的谐波|688017",新能源车
002050,三花智控,"三花智控|002050",新能源车
300014,亿纬锂能,"亿纬锂能|300014",锂电池
603659,璞泰来,"璞泰来|603659",锂电池
002812,恩捷股份,"恩捷股份|002812",锂电池
002709,天赐材料,"天赐材料|002709",锂电池
300450,先导智能,"先导智能|300450",锂电池
300274,阳光电源,"阳光电源|300274",光伏
600438,通威股份,"通威股份|600438",光伏
688599,天合光能,"天合光能|688599",光伏
688408,中信博,"中信博|688408",光伏
605117,德业股份,"德业股份|605117",光伏
688111,金山办公,"金山办公|688111",人工智能
300496,中科创达,"中科创达|300496",人工智能
300033,同花顺,"同花顺|300033",人工智能
603728,鸣志电器,"鸣志电器|603728",机器人
688320,禾川科技,"禾川科技|688320",机器人
002009,天奇股份,"天奇股份|002009",机器人
600276,恒瑞医药,"恒瑞医药|600276",医药
688235,百济神州,"百济神州|BeiGene|688235",医药
603259,药明康德,"药明康德|603259",医药
002821,凯莱英,"凯莱英|002821",医药
300347,泰格医药,"泰格医药|300347",医药
600196,复星医药,"复星医药|600196",医药
