tweet_id,created_at,author,text
1,2026-05-24 09:12:00,market_watch,"宁德时代今天讨论热度很高，储能订单和出海逻辑继续发酵，新能源链条情绪偏强。"
2,2026-05-24 09:38:00,cn_equity,"贵州茅台 600519 股价震荡，消费复苏预期还在，但估值分歧也很明显。"
3,2026-05-24 10:05:00,tech_flow,"半导体板块继续活跃，中芯国际和北方华创被频繁提到，先进封装是高频关键词。"
4,2026-05-24 10:21:00,risk_note,"地产链传闻很多，万科A 000002 情绪偏负面，债务和销售数据仍然是压力点。"
5,2026-05-24 10:47:00,quant_cn,"比亚迪新能源车销量预期不错，出口、智能驾驶、价格战同时出现，情绪有分化。"
6,2026-05-24 11:11:00,macro_cn,"银行股今天防御属性被讨论，招商银行提及增加，大家更关注息差和分红。"
7,2026-05-24 13:16:00,theme_tracker,"光伏出现反弹讨论，隆基绿能热度回升，但产能过剩还是主要风险。"
8,2026-05-24 13:55:00,noise_filter,"有人反复刷屏推荐某只小票，缺少数据支撑，这类内容应该降低权重。"
9,2026-05-24 14:23:00,ai_stock,"科大讯飞和AI应用被提到，教育、办公、语音模型是关键词，短线情绪偏正面。"
10,2026-05-24 14:50:00,close_note,"今日 A 股讨论集中在新能源、半导体、AI 和消费，整体情绪中性偏积极。"
